iter	RMSE
0	0.08861581281
1	0.08797294537
2	0.08744198168
3	0.08688327272
4	0.08632627721
5	0.08580954726
6	0.08524984237
7	0.08464758389
8	0.08411061665
9	0.08352217404
10	0.08295349922
11	0.0824534411
12	0.08187374277
13	0.08128181557
14	0.08076656733
15	0.08022823749
16	0.07965818626
17	0.07912843482
18	0.07858799082
19	0.0780232066
20	0.07750177623
21	0.07697018986
22	0.07645391705
23	0.07596345631
24	0.07544619998
25	0.07493024714
26	0.07443651514
27	0.07390602956
28	0.07345444742
29	0.07303057758
30	0.07257552546
31	0.07211068762
32	0.07162080516
33	0.07119584039
34	0.07070327499
35	0.07024288808
36	0.06978075584
37	0.06934592432
38	0.06885177883
39	0.06845560174
40	0.06801532723
41	0.0675541288
42	0.06709003642
43	0.06664634498
44	0.0661552061
45	0.06576305136
46	0.06530678933
47	0.0649159442
48	0.06454152171
49	0.06414808285
50	0.06370629623
51	0.06325192398
52	0.06280041303
53	0.06237529575
54	0.06203219575
55	0.06168172345
56	0.06129602543
57	0.0609068378
58	0.06050044945
59	0.0601174846
60	0.05974137534
61	0.05937838417
62	0.05897472217
63	0.05854885575
64	0.05815076841
65	0.05777823744
66	0.05737770602
67	0.05701956079
68	0.05661842864
69	0.05623266259
70	0.05590102721
71	0.05553789546
72	0.05520107636
73	0.0548156304
74	0.0544729445
75	0.0541333442
76	0.05379937008
77	0.05345256272
78	0.05315449306
79	0.05282617683
80	0.05249767859
81	0.05219396628
82	0.05187215672
83	0.05154493131
84	0.05120437859
85	0.05090468461
86	0.05061370039
87	0.05027366446
88	0.049975466
89	0.049678443
90	0.04944399845
91	0.04915127413
92	0.04884018305
93	0.04851838843
94	0.04824035206
95	0.04795650888
96	0.04766837465
97	0.04734391505
98	0.04705386659
99	0.04676214667
100	0.04650032856
101	0.04622501492
102	0.04595635499
103	0.04569138782
104	0.045477493
105	0.04525634715
106	0.04500617121
107	0.04473257028
108	0.0444586161
109	0.04419750896
110	0.04394320735
111	0.04366329922
112	0.04340168639
113	0.04314829743
114	0.04287146357
115	0.04263645528
116	0.04240123124
117	0.0421586014
118	0.04191386727
119	0.04168976352
120	0.0414316866
121	0.04116499444
122	0.04090461605
123	0.04070839527
124	0.04045026916
125	0.040230545
126	0.03997909058
127	0.03972954096
128	0.03949771993
129	0.03925411098
130	0.03903713553
131	0.03879113564
132	0.03856680587
133	0.03833294045
134	0.03812514202
135	0.0378953437
136	0.03767814941
137	0.03746885476
138	0.0372694458
139	0.03705325729
140	0.03686043625
141	0.03665448607
142	0.03643726292
143	0.03621809747
144	0.03601654685
145	0.03581531458
146	0.03560599137
147	0.03539398454
148	0.03520974441
149	0.0349883231
150	0.03477424096
151	0.034587579
152	0.03438962943
153	0.03419131932
154	0.03403601072
155	0.03383487924
156	0.03363174209
157	0.03343977046
158	0.03326002268
159	0.03305849682
160	0.03287608011
161	0.03270570174
162	0.03254508962
163	0.03238751103
164	0.03220216079
165	0.03202074563
166	0.03185677652
167	0.03169434909
168	0.03153288635
169	0.031367213
170	0.03120033365
171	0.03105053326
172	0.03088382079
173	0.03073497596
174	0.03057345642
175	0.03040168657
176	0.03023736852
177	0.03006360096
178	0.02991293743
179	0.02975055383
180	0.02959772276
181	0.0294329987
182	0.0292632029
183	0.02911443265
184	0.02897533339
185	0.02881449341
186	0.02866599604
187	0.02851221273
188	0.02836882113
189	0.02824938599
190	0.02810934942
191	0.02795420667
192	0.02781235982
193	0.02766712623
194	0.02752215945
195	0.02737322756
196	0.02722798627
197	0.02709154274
198	0.02695382273
199	0.02680227044
200	0.02667929759
201	0.02656265667
202	0.02642397423
